id,source,link
14663,1932,"Чемберс У: Смерть комуністів: Оповідання, № 23/24"
14664,1990 - 2000,USA. Literature in English
14665,1990 - 2000,English
14666,1990 - 2000,2000
14667,2000,"Чівер, Джон: Жінка без батьківщини: Оповідання, № 10/11"
14668,1990 - 2000,USA. Literature in English
14669,1990 - 2000,English
14670,1990 - 2000,1999
14671,1999,"Чівер, Джон: Клементина: Оповідання, № 5/6"
14672,1980 - 1990,USA. Literature in English
14673,1980 - 1990,English
14674,1980 - 1990,1983
14675,1983,"Чівер, Джон: Принади самотності: Оповідання, № 08"
14676,1980 - 1990,USA. Literature in English
14677,1980 - 1990,English
14678,1980 - 1990,1983
14679,1983,"Чівер, Джон: «Прокидайся, брате Жаку...»: Оповідання, № 08"
14680,1980 - 1990,USA. Literature in English
14681,1980 - 1990,English
14682,1980 - 1990,1980
14683,1980,"Шакур, Ассата: На що ти спроможна?: [Вірш], № 11"
14684,1990 - 2000,USA. Literature in English
14685,1990 - 2000,English
14686,1990 - 2000,1991
14687,1991,"Шеклі, Роберт: Безіменна гора: Оповідання, № 03"
14688,1990 - 2000,USA. Literature in English
14689,1990 - 2000,English
14690,1990 - 2000,1995
14691,1995,"Шеклі, Роберт: Безсмертя задарма: Оповідання, № 8/9"
14692,1990 - 2000,USA. Literature in English
14693,1990 - 2000,English
14694,1990 - 2000,1996
14695,1996,"Шеклі, Роберт: Ворогові - вдвічі більше: Оповідання, № 04"
14696,1980 - 1990,USA. Literature in English
14697,1980 - 1990,English
14698,1980 - 1990,1983
14699,1983,"Шеклі, Роберт: Заборонена зона - Лексіанський ключ: Оповідання, № 06"
14700,1990 - 2000,USA. Literature in English
14701,1990 - 2000,English
14702,1990 - 2000,1992
14703,1992,"Шеклі, Роберт: Найперша жертва: Повість, № 5/6"
14704,1990 - 2000,USA. Literature in English
14705,1990 - 2000,English
14706,1990 - 2000,1998
14707,1998,"Шеклі, Роберт: Прохач у космосі, № 07"
14708,1990 - 2000,USA. Literature in English
14709,1990 - 2000,English
14710,1990 - 2000,1998
14711,1998,"Шеклі, Роберт: Дипломатичний імунітет: Оповідання, № 07"
14712,1980 - 1990,USA. Literature in English
14713,1980 - 1990,English
14714,1980 - 1990,1982
14715,1982,"Шоу, Ірвін: Лиха пригода: Оповідання, № 05"
14716,1970 - 1980,USA. Literature in English
14717,1970 - 1980,English
14718,1970 - 1980,1979
14719,1979,"Шоу, Ірвін: Нічний черговий: Роман, № 03"
14720,1970 - 1980,USA. Literature in English
14721,1970 - 1980,English
14722,1970 - 1980,1979
14723,1979,"Шоу, Ірвін: Нічний черговий: Роман, № 04"
14724,1970 - 1980,USA. Literature in English
14725,1970 - 1980,English
14726,1970 - 1980,1979
14727,1979,"Шоу, Ірвін: Нічний черговий: Роман, № 05"
14728,1950 - 1960,USA. Literature in English
14729,1950 - 1960,English
14730,1950 - 1960,1959
14731,1959,"Шоу, Ірвін: Основні течії в американській думці: Новела, № 11"
14732,1990 - 2000,USA. Literature in English
14733,1990 - 2000,English
14734,1990 - 2000,1997
14735,1997,"Шоу, Ірвін: Рудольф на золотому ковадлі: Оповідання, № 8/9"
14736,1980 - 1990,USA. Literature in English
14737,1980 - 1990,English
14738,1980 - 1990,1985
14739,1985,"Шоу, Ірвін: Хліб по воді: Роман, № 03"
14740,1980 - 1990,USA. Literature in English
14741,1980 - 1990,English
14742,1980 - 1990,1985
14743,1985,"Шоу, Ірвін: Хліб по воді: Роман, № 04"
14744,1980 - 1990,USA. Literature in English
14745,1980 - 1990,English
14746,1980 - 1990,1985
14747,1985,"Шоу, Ірвін: Хліб по воді: Роман, № 05"
14748,1990 - 2000,USA. Literature in English
14749,1990 - 2000,English
14750,1990 - 2000,1995
14751,1995,"Шоу, Ірвін: Я стою за Демпсі, № 01"
14752,1990 - 2000,USA. Literature in English
14753,1990 - 2000,English
14754,1990 - 2000,1995
14755,1995,"Шоу, Ірвін: Важливий свідок, № 01"
14756,1990 - 2000,USA. Literature in English
14757,1990 - 2000,English
14758,1990 - 2000,1995
14759,1995,"Шоу, Ірвін: Зелена голявка: Оповідання, № 01"
14760,1960 - 1970,USA. Literature in English
14761,1960 - 1970,English
14762,1960 - 1970,1960
14763,1960,"Шулмен, Макс: Хлопці, наших бьють!: Сатир, роман, № 01"
14764,1960 - 1970,USA. Literature in English
14765,1960 - 1970,English
14766,1960 - 1970,1960
14767,1960,"Шулмен, Макс: Хлопці, наших бьють!: Сатир, роман, № 02"
14768,1980 - 1990,USA. Literature in English
14769,1980 - 1990,English
14770,1980 - 1990,1983
14771,1983,"Шульте, Райнер: Рапсодія нервів: [Вірш], № 08"
14772,1920 - 1930,USA. Literature in Yiddish
14773,1920 - 1930,Yiddish
14774,1920 - 1930,1925
14775,1925,"Глазман Б. [Борух]: На узбережжі моря: Сторінки з роману «Острів», № 20"
14776,1990 - 2000,USA. Literature in Yiddish
14777,1990 - 2000,Yiddish
14778,1990 - 2000,1993
14779,1993,"Зінгер, Іцхак Башевіс: Чому кричали гуси: Оповідання, № 9/10"
14780,1920 - 1930,USA. Literature in Yiddish
14781,1920 - 1930,Yiddish
14782,1920 - 1930,1929
14783,1929,"Ольгін [Новомиський Мойше Йосип]: Газ: Оповідання, № 45"
14784,1920 - 1930,USA. Literature in Yiddish
14785,1920 - 1930,Yiddish
14786,1920 - 1930,1929
14787,1929,"Рейзен, Абрам [Авром]: Прошачка з дитиною: Оповідання, № 06"
14788,1920 - 1930,USA. Literature in Yiddish
14789,1920 - 1930,Yiddish
14790,1920 - 1930,1929
14791,1929,"Рейзен, Абрам [Авром]: Свято для всіх: Оповідання, № 06"
14792,1980 - 1990,Sudan
14793,1980 - 1990,Arabic
14794,1980 - 1990,1983
14795,1983,"Саліх, Ат-Таїб: Зейнове одруження: Повість, № 01"
14796,1980 - 1990,Sierra Leone
14797,1980 - 1990,English
14798,1980 - 1990,1981
14799,1981,"Барт-Вільямс, Гастон: Блюз відчаю: [Вірш], № 03"
14800,1980 - 1990,Tajikistan
14801,1980 - 1990,Farsi
14802,1980 - 1990,1980
14803,1980,"Ібн-Сіна, Абу Алі |Авіцена|: Кита, № 12"
14804,1980 - 1990,Tajikistan
14805,1980 - 1990,Farsi
14806,1980 - 1990,1980
14807,1980,"Ібн-Сіна, Абу Алі |Авіцена|: Рубаї, № 12"
14808,1930 - 1940,Tajikistan
14809,1930 - 1940,-
14810,1930 - 1940,1933
14811,1933,"Лагуті Г: Моєму творцеві: [Вірш], № 23"
14812,1930 - 1940,Tajikistan
14813,1930 - 1940,Persian
14814,1930 - 1940,1934
14815,1934,"Лагуті Г: Тарасу Шевченкові: Відповідь на «Заповіт»: [Вірш], № 05"
14816,1970 - 1980,Tajikistan
14817,1970 - 1980,Farsi
14818,1970 - 1980,1975
14819,1975,"Румі, Джелаледдін: [Поезії], № 02"
14820,1970 - 1980,Trinidad and Tobago
14821,1970 - 1980,English
14822,1970 - 1980,1971
14823,1971,"Ентоні, Майкл: Піта глибоководний: Оповідання, № 09"
14824,1980 - 1990,Trinidad and Tobago
14825,1980 - 1990,English
14826,1980 - 1990,1983
14827,1983,"Найпол В. С: Мігель-стріт: Роман, № 02"
14828,1980 - 1990,Turkey
14829,1980 - 1990,Turkish
14830,1980 - 1990,1983
14831,1983,"Ай, Бегзат: Листування батька з сином: Оповідання, № 10"
14832,1980 - 1990,Turkey
14833,1980 - 1990,Turkish
14834,1980 - 1990,1982
14835,1982,"Андай, Меліх Джевдет: [Поезії], № 10"
14836,1960 - 1970,Turkey
14837,1960 - 1970,Turkish
14838,1960 - 1970,1964
14839,1964,"Велі, Орхан: [Поезії], № 12"
14840,1980 - 1990,Turkey
14841,1980 - 1990,Turkish
14842,1980 - 1990,1981
14843,1981,"Велі, Орхан: [Поезії], № 08"
14844,1980 - 1990,Turkey
14845,1980 - 1990,Turkish
14846,1980 - 1990,1982
14847,1982,"Галман, Талят Саїт: «Радіти найпершій чайці - сентиментальність...»: [Вірш], № 10"
14848,1970 - 1980,Turkey
14849,1970 - 1980,Turkish
14850,1970 - 1980,1970
14851,1970,"Гюнтекін, Решад Нурі: Тягати воду, мити посуд, № 06"
14852,1970 - 1980,Turkey
14853,1970 - 1980,Turkish
14854,1970 - 1980,1970
14855,1970,"Гюнтекін, Решад Нурі: Контрабанда в митниці: Гумор, оповідання, № 06"
14856,1980 - 1990,Turkey
14857,1980 - 1990,Turkish
14858,1980 - 1990,1982
14859,1982,"Дагларджа, Фазил Хюсню: [Поезії], № 10"
14860,1980 - 1990,Turkey
14861,1980 - 1990,Turkish
14862,1980 - 1990,1983
14863,1983,"Джанберк, Ерай: Майстер повітряних зміїв: Оповідання, № 10"
14864,1970 - 1980,Turkey
14865,1970 - 1980,Turkish
14866,1970 - 1980,1973
14867,1973,"Джумали, Неджаті: Посушливе літо: Повість, № 07"
14868,1980 - 1990,Turkey
14869,1980 - 1990,Turkish
14870,1980 - 1990,1982
14871,1982,"Евліягіль, Неджет: Наскільки можливо відчути: [Вірш], № 10"
14872,1980 - 1990,Turkey
14873,1980 - 1990,Turkish
14874,1980 - 1990,1982
14875,1982,"Ейюбоглу, Бедрі Рахмі: [Поезії], № 10"
14876,1960 - 1970,Turkey
14877,1960 - 1970,Turkish
14878,1960 - 1970,1968
14879,1968,"Ердінч, Фахрі: Юшка з цвяхів, № 02"
14880,1960 - 1970,Turkey
14881,1960 - 1970,Turkish
14882,1960 - 1970,1968
14883,1968,"Ердінч, Фахрі: Труна безплатно, № 02"
14884,1960 - 1970,Turkey
14885,1960 - 1970,Turkish
14886,1960 - 1970,1968
14887,1968,"Ердінч, Фахрі: Жива барикада, № 02"
14888,1960 - 1970,Turkey
14889,1960 - 1970,Turkish
14890,1960 - 1970,1968
14891,1968,"Ердінч, Фахрі: Висланець, № 02"
14892,1960 - 1970,Turkey
14893,1960 - 1970,Turkish
14894,1960 - 1970,1968
14895,1968,"Ердінч, Фахрі: Відкриття Анатолії: Оповідання, № 02"
14896,1970 - 1980,Turkey
14897,1970 - 1980,Turkish
14898,1970 - 1980,1970
14899,1970,"Несін, Азіз: Дружні відносини: Оповідання, № 06"
14900,1980 - 1990,Turkey
14901,1980 - 1990,Turkish
14902,1980 - 1990,1981
14903,1981,"Несін, Азіз: Обіймай мене, кохай мене, гладь мене, цілуй мене...: Оповідання, № 04"
14904,1970 - 1980,Turkey
14905,1970 - 1980,Turkish
14906,1970 - 1980,1979
14907,1979,"Несін, Азіз: Смерть поліцейського: Оповідання, № 06"
14908,1970 - 1980,Turkey
14909,1970 - 1980,Turkish
14910,1970 - 1980,1973
14911,1973,"Несін, Азіз: Чужим розумом живемо: Оповідання, № 09"
14912,1960 - 1970,Turkey
14913,1960 - 1970,Turkish
14914,1960 - 1970,1968
14915,1968,"Несін, Азіз: Як вони це роблять, № 10"
14916,1960 - 1970,Turkey
14917,1960 - 1970,Turkish
14918,1960 - 1970,1968
14919,1968,"Несін, Азіз: Борець за демократію, № 10"
14920,1960 - 1970,Turkey
14921,1960 - 1970,Turkish
14922,1960 - 1970,1968
14923,1968,"Несін, Азіз: Розвага у неділю, № 10"
14924,1960 - 1970,Turkey
14925,1960 - 1970,Turkish
14926,1960 - 1970,1968
14927,1968,"Несін, Азіз: Крадій телефонних апаратів, № 10"
14928,1960 - 1970,Turkey
14929,1960 - 1970,Turkish
14930,1960 - 1970,1968
14931,1968,"Несін, Азіз: Батьківські збори: Оповідання, № 10"
14932,1960 - 1970,Turkey
14933,1960 - 1970,Turkish
14934,1960 - 1970,1969
14935,1969,"Несін, Азіз: Як губернатор трохи не став депутатом, № 01"
14936,1960 - 1970,Turkey
14937,1960 - 1970,Turkish
14938,1960 - 1970,1969
14939,1969,"Несін, Азіз: Запчастини цивілізації, № 01"
14940,1960 - 1970,Turkey
14941,1960 - 1970,Turkish
14942,1960 - 1970,1969
14943,1969,"Несін, Азіз: Своїм щастям я завдячую тобі, № 01"
14944,1960 - 1970,Turkey
14945,1960 - 1970,Turkish
14946,1960 - 1970,1969
14947,1969,"Несін, Азіз: Помилки лікарів приховає могила, № 01"
14948,1960 - 1970,Turkey
14949,1960 - 1970,Turkish
